Episode ID	Episode Title	Show Title	Show ID	
tt4593118	Chapter One: The Vanishing of Will Byers	Stranger Things	tt4574334	
tt4593122	Chapter Two: The Weirdo on Maple Street	Stranger Things	tt4574334	
tt4593126	Chapter Three: Holly, Jolly	Stranger Things	tt4574334	
tt4593124	Chapter Four: The Body	Stranger Things	tt4574334	
tt4593128	Chapter Five: The Flea and the Acrobat	Stranger Things	tt4574334	
tt4593132	Chapter Six: The Monster	Stranger Things	tt4574334	
tt4593134	Chapter Seven: The Bathtub	Stranger Things	tt4574334	
tt4593138	Chapter Eight: The Upside Down	Stranger Things	tt4574334	
tt6020684	Madmax	Stranger Things	tt4574334	
tt6020792	The Boy Who Came Back to Life	Stranger Things	tt4574334	
tt6020796	The Pumpkin Patch	Stranger Things	tt4574334	
tt6020802	The Palace	Stranger Things	tt4574334	
tt6020806	The Storm	Stranger Things	tt4574334	
tt6020808	The Pollywog	Stranger Things	tt4574334	
tt6020810	The Secret Cabin	Stranger Things	tt4574334	
tt6020812	The Brain	Stranger Things	tt4574334	
tt6020876	The Lost Brother	Stranger Things	tt4574334	
tt1480055	Winter Is Coming	Game of Thrones	tt0944947	
tt1668746	The Kingsroad	Game of Thrones	tt0944947	
tt1829962	Lord Snow	Game of Thrones	tt0944947	
tt1829963	Cripples, Bastards, and Broken Things	Game of Thrones	tt0944947	
tt1829964	The Wolf and the Lion	Game of Thrones	tt0944947	
tt1837862	A Golden Crown	Game of Thrones	tt0944947	
tt1837863	You Win or You Die	Game of Thrones	tt0944947	
tt1837864	The Pointy End	Game of Thrones	tt0944947	
tt1851398	Baelor	Game of Thrones	tt0944947	
tt1851397	Fire and Blood	Game of Thrones	tt0944947	
tt1971833	The North Remembers	Game of Thrones	tt0944947	
tt2069318	The Night Lands	Game of Thrones	tt0944947	
tt2070135	What Is Dead May Never Die	Game of Thrones	tt0944947	
tt2069319	Garden of Bones	Game of Thrones	tt0944947	
tt2074658	The Ghost of Harrenhal	Game of Thrones	tt0944947	
tt2085238	The Old Gods and the New	Game of Thrones	tt0944947	
tt2085239	A Man Without Honor	Game of Thrones	tt0944947	
tt2085240	The Prince of Winterfell	Game of Thrones	tt0944947	
tt2084342	Blackwater	Game of Thrones	tt0944947	
tt2112510	Valar Morghulis	Game of Thrones	tt0944947	
tt2178782	Valar Dohaeris	Game of Thrones	tt0944947	
tt2178772	Dark Wings, Dark Words	Game of Thrones	tt0944947	
tt2178802	Walk of Punishment	Game of Thrones	tt0944947	
tt2178798	And Now His Watch Is Ended	Game of Thrones	tt0944947	
